"date","Cases.Mean","Cases.sd","Cases.q2.5","Cases.q50","Cases.q97.5","Deaths.Mean","Deaths.sd","Deaths.q2.5","Deaths.q50","Deaths.q97.5"
2020-05-14,43978.5449787077,1430.27209704569,41309.7780585347,44146.8265223394,46205.8654686348,7160.70458982611,194.445660182248,6772.13402584689,7155.65119229943,7517.47694304015
2020-05-15,44743.8336929266,1442.7094454818,42053.2669784723,44909.8822433656,46993.4644057856,7332.85003382167,199.161660569729,6933.23266136616,7331.53424682929,7697.37970414217
2020-05-16,45504.2865107278,1454.51045468176,42793.2199259257,45667.9296403656,47775.2798991435,7505.07492536918,203.884250335146,7094.41970138867,7508.56245733744,7877.2476039563
2020-05-17,46259.6740806615,1465.67054094024,43529.4248345337,46420.7388817621,48553.9812693638,7677.29347029456,208.608519707703,7255.62223007702,7682.82505325862,8056.98241921443
2020-05-18,47009.774912378,1476.18631160662,44261.6412962552,47168.0882604971,49327.0699995855,7849.42067626081,213.329970261613,7416.76775604243,7855.8207016758,8236.48746772126
2020-05-19,47754.3754983197,1486.05555789012,44989.6987246254,47910.2504633548,50093.7570430035,8021.37257530887,218.044517471221,7577.78438381646,8027.83396154361,8415.66784010067
2020-05-20,48493.2704207507,1495.2772438494,45713.4052849132,48648.8118091994,50853.8315147723,8193.06643559582,222.748486585716,7738.60098859297,8198.54881863758,8594.43061283914
2020-05-21,49226.2624436387,1503.85149171482,46432.572061577,49381.3460085312,51607.0921600359,8364.42096148136,227.438603002909,7899.14739111662,8368.88535517495,8772.68504225363
2020-05-22,49953.1625891248,1511.77956380598,47147.0161747488,50107.6623628017,52353.3474058758,8535.35648161687,232.111978386804,8059.35453046981,8539.05271225176,8950.34274214485
2020-05-23,50673.7901983242,1519.06384116736,47856.5608665727,50827.5787301702,53092.4153931052,8705.79512489639,236.766093435609,8219.15463272311,8710.29137331895,9127.31784559518
2020-05-24,51387.9729763845,1525.70779915752,48561.0355786785,51540.9215715978,53824.1239890898,8875.66098448613,241.398777989158,8378.48137401186,8879.50005391478,9303.52715264864
2020-05-25,52095.5470218474,1531.7159802748,49260.2760203351,52247.5259802482,54548.3107817792,9044.88027043699,246.008189337376,8537.27003721639,9048.03262572674,9478.89026530737
2020-05-26,52796.3568404031,1537.09396437291,49954.1242269708,52947.2356943757,55264.8230550777,9213.38145123851,250.592789019691,8695.4576613994,9215.81669093334,9653.32971087585
2020-05-27,53490.2553432298,1541.84833650708,50642.4286087941,53639.9030939341,55973.5177461335,9381.09538487383,255.151318482885,8852.98318367389,9382.13598628183,9826.8169230382
2020-05-28,54177.1038301633,1545.98665256681,51325.0439893287,54325.3891812254,56674.2613850906,9547.95544008181,259.682774115767,9009.78757332262,9548.86224794894,9999.51214933104
2020-05-29,54856.771958116,1549.517403039,52001.8316337734,55003.5635460067,57366.9300179239,9713.89760823696,264.186381659321,9165.81395802619,9713.99184362842,10171.0775557618
2020-05-30,55529.1376951483,1552.44997506278,52672.6592671378,55674.3043155044,58051.4091130492,9878.8606064938,268.661570248325,9321.00774246191,9878.10935943668,10343.2888930635
2020-05-31,56194.0872606091,1554.79461295019,53337.4010821799,56337.4980898673,58727.5934525384,10042.7859727964,273.107946398844,9475.31671917356,10041.1559552718,10518.4036052186
2020-06-01,56851.5149006228,1556.56238571269,53995.9373405753,56993.0398004317,59395.3867844183,10205.618130587,277.525268674338,9628.69111287854,10205.2424747691,10692.4906090259
2020-06-02,57502.0649737028,1558.1947471425,54647.5292365559,57641.9011719331,60055.7118065952,10367.2889713421,281.911338131648,9781.07265643695,10370.1417331932,10865.9535169338
2020-06-03,58146.3384830152,1560.02315092048,55291.7072773735,58284.9374343047,60709.385320901,10527.6801069978,286.255969654827,9932.3674857051,10533.3220298977,11038.0394637271
2020-06-04,58784.2646823198,1561.91651576384,55928.7955724685,58921.9827834684,61356.2655807276,10686.6842501817,290.54779096048,10082.4909806261,10691.3060462491,11203.1697661932
2020-06-05,59415.8580378521,1563.76876833637,56559.1348844257,59552.9729439897,61996.3104971357,10844.2198860809,294.776694791732,10231.3777734565,10847.826015115,11364.6803170947
2020-06-06,60041.1827130372,1565.4941886515,57183.0586575702,60177.9071263217,62629.5390267189,11000.2278902468,298.934120528149,10378.9791405826,11002.8312774585,11524.4625805179
2020-06-07,60660.3276053953,1567.02366414151,57800.8781486096,60796.8202158006,63256.004631982,11154.6680945907,303.013347163758,10525.2605202941,11156.2879831033,11682.4825616828
2020-06-08,61273.3899361355,1568.30157896852,58412.8740702267,61409.7645449977,63875.7767309599,11307.5159758152,307.009587969335,10670.1800206935,11308.1762106739,11838.7212288613
2020-06-09,61880.4644909347,1569.28355091186,59019.2921990678,62016.797492098,64488.9290084352,11458.7595170056,310.91986637308,10813.73032675,11461.6968863232,11993.17206895
2020-06-10,62481.6370987683,1569.93441527746,59620.3423491734,62617.9738732826,65095.5316065783,11608.3965085622,314.742683702653,10955.9192912268,11612.8603011536,12145.8382966382
2020-06-11,63076.980909687,1570.22665331534,60216.1992191656,63213.340685421,65695.6465697385,11756.4322592203,318.47769008376,11096.7479029818,11761.7045260212,12296.7296381786
2020-06-12,63666.554743643,1570.1391536557,60807.004049687,63802.817458609,66289.3255660178,11902.8777105831,322.125486624028,11236.2218827891,11910.1748800402,12445.8605220398
2020-06-13,64250.402816081,1569.65612860319,61392.8676315742,64386.2482581595,66876.6087673781,12047.747868362,325.687418725113,11374.3504126184,12055.2904353254,12593.2487741432
2020-06-14,64828.5552666385,1568.76631941928,61973.8732450818,64963.9420518513,67457.525106308,12191.0605461604,329.165429108588,11511.1451115541,12196.9145191614,12738.9144745289
2020-06-15,65401.0292364198,1567.46229550385,62550.079796109,65535.903607613,68032.0929432823,12332.8353485408,332.561925910864,11646.6191859112,12337.004709974,12882.8791496546
2020-06-16,65967.8302634393,1565.73986413854,63121.5249476903,66102.1282675895,68600.3210193077,12473.0928550858,335.879671534261,11780.7867393396,12475.5792125197,13025.1650394494
2020-06-17,66528.9537828388,1563.597609106,63688.2281273817,66662.6029102428,69162.8127004046,12611.8539820207,339.121706101981,11913.6622219174,12612.9220182616,13165.7945172883
2020-06-18,67084.3866831987,1561.03648439789,64250.193154191,67217.3074343125,69719.8763654894,12749.1394859333,342.291280676175,12045.2600007388,12749.2585378819,13304.7897143766
2020-06-19,67634.1088277016,1558.05947345114,64807.4107508333,67766.2160396185,70270.5945147444,12884.9695845297,345.391790474158,12175.5940362331,12884.1426954521,13442.1721737096
2020-06-20,68178.0944787081,1554.67132573474,65359.8608620454,68309.2983957979,70814.9494744767,13019.3636879127,348.426727272502,12304.677645027,13017.5914088154,13577.9626204918
2020-06-21,68716.3136182617,1550.87831929707,65907.5146913166,68846.5208602538,71352.9203468302,13152.3402112159,351.399635024582,12432.523338068,13149.6207075477,13712.1808206775
2020-06-22,69248.733141573,1546.6880561052,66451.3940505925,69377.8475233383,71884.4840484043,13283.9164585864,354.314072574088,12559.1427207414,13280.245637479,13844.8454967184
2020-06-23,69775.3179232549,1542.10929111642,66992.2992722172,69903.2411576412,72409.6162912946,13414.1085662867,357.173582779922,12684.5464438794,13409.4802221718,13975.9742971223
2020-06-24,70296.0317607926,1537.15178494449,67528.3055321536,70422.0340682727,72928.2924341765,13542.9314931826,359.981666507936,12808.7441970816,13537.3374634912,14106.6749123
2020-06-25,70810.8381989362,1531.82617625218,68059.3631880629,70934.317442098,73440.4882177633,13670.3990496876,362.741760773084,12931.7447360821,13663.8293789597,14239.8478037673
2020-06-26,71319.7012411983,1526.14386882909,68585.4207771835,71440.1706236237,73946.1804099454,13796.5239574652,365.457220181585,13053.5559375878,13788.9670664823,14371.5817613423
2020-06-27,71822.5859618463,1520.11693355289,69106.4259161076,71939.9357160739,74445.3473494477,13921.3179333433,368.131301158674,13174.1848761269,13912.7607905698,14501.8932868701
2020-06-28,72319.4590254037,1513.75802126908,69622.3260731214,72433.5808200034,74937.9694040046,14044.7917917475,370.767148311515,13293.6379174319,14035.2200864544,14630.797560677
2020-06-29,72810.289123549,1507.08028509872,70132.9260312358,72921.0763692231,75424.029354553,14166.9555320848,373.367791107151,13411.9207589157,14156.3538498192,14758.7480108052
2020-06-30,73295.0473354994,1500.09730976711,70630.8351656108,73402.3954504873,75903.5127004341,14287.8182593099,375.936173726386,13529.038239066,14276.1702682923,14885.4199184466
2020-07-01,73773.7068566645,1492.82291247139,71118.6349826056,73877.5135732637,76376.4073280308,14407.3879109789,378.475188404289,13644.9939835279,14394.6764624116,15010.7292361417
2020-07-02,74253.7344906743,1485.59356748985,71608.6012906464,74354.2276718254,76850.3975753124,14525.7197276643,380.984040747892,13759.8431964643,14511.9303719777,15134.727396226
2020-07-03,74741.0705512532,1478.65220536494,72112.0837544678,74838.7349683817,77331.581657748,14643.0360931348,383.448957578446,13873.8212847148,14628.1677838195,15257.6073609355
2020-07-04,75233.81018889,1471.8927472765,72619.6138170777,75329.0380751289,77817.9905405641,14759.5497824736,385.856255250525,13987.1534495687,14743.614133325,15380.9082039864
2020-07-05,75730.4827735684,1465.23031985654,73130.0570363512,75829.7346288261,78308.1012302093,14875.4241333296,388.195612369394,14100.0116414704,14860.9279147199,15504.8753774926
2020-07-06,76229.9462084055,1458.59714278314,73642.5438174203,76340.4441441771,78800.7291546667,14990.7844106155,390.459486705536,14212.5266232128,14978.6605833296,15623.9994474821
2020-07-07,76731.3054565452,1451.93889937799,74156.4006970109,76841.9061990438,79294.9450740069,15105.7266103992,392.642585332717,14324.797544368,15095.9378870841,15742.5402307995
